pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
907,665489,"Guerrero Jr., Vladimir",907,100,0.262,0.199,0.282,0.462,0.338,0.331,0.26,58,221,92.5,4.6,2238,88.7,88.73,107,434,473,0,6.31,107,152,121,147,303,324,292
906,664058,"Fletcher, David",906,100,0.319,0.106,0.348,0.425,0.35,0.316,0.292,66,207,84.5,3.7,2260,89.2,88.96,29,337,569,-0.2,6.16,107,151,110,146,299,315,283
906,453568,"Blackmon, Charlie",906,100,0.303,0.145,0.347,0.448,0.34,0.328,0.274,67,221,86.2,12.2,2278,89.4,89.68,106,455,451,0.3,6.23,114,159,122,150,299,330,308
902,544369,"Gregorius, Didi",902,100,0.284,0.205,0.285,0.488,0.348,0.31,0.262,61,215,83.4,17.4,2181,88.7,88.69,91,483,419,0,6.3,115,152,124,147,291,322,291
901,594777,"Calhoun, Kole",901,100,0.226,0.3,0.211,0.526,0.362,0.373,0.258,43,190,89.4,17,2273,89.5,89.23,138,422,479,-0.3,6.22,116,159,130,150,297,326,305
901,593871,"Polanco, Jorge",901,100,0.258,0.096,0.292,0.354,0.289,0.304,0.263,54,209,86,15.5,2259,87.9,87.9,66,394,507,0,6.35,112,148,105,149,294,324,296
898,502110,"Martinez, J.D.",898,100,0.213,0.175,0.259,0.389,0.293,0.319,0.228,45,211,89.5,14.6,2235,89,88.97,131,466,432,0,6.43,105,151,121,147,300,325,295
895,669256,"Solak, Nick",895,100,0.268,0.077,0.32,0.344,0.297,0.318,0.264,56,209,89.6,9.3,2265,88.1,87.85,75,392,503,-0.3,6.16,108,151,117,147,306,326,293
895,657656,"Laureano, Ramón",895,100,0.213,0.153,0.27,0.366,0.315,0.342,0.235,39,183,87.7,12.3,2291,88.1,87.57,90,360,535,-0.5,6.17,106,151,116,145,302,322,290
893,600524,"Núñez, Renato",893,100,0.256,0.236,0.317,0.492,0.347,0.315,0.227,50,195,86.3,21.1,2240,88.1,87.86,140,465,428,-0.2,6.48,105,150,120,145,297,323,288
892,527038,"Flores, Wilmer",892,100,0.268,0.247,0.272,0.515,0.347,0.312,0.249,53,198,87.9,19,2276,88.8,87.84,76,428,464,-1,6.19,109,152,121,147,301,324,294
889,543685,"Rendon, Anthony",889,100,0.286,0.212,0.302,0.497,0.395,0.388,0.286,54,189,90.1,19.5,2274,88.9,88.45,53,360,529,-0.4,6.12,106,152,121,147,309,326,295
888,605119,"Anderson, Brian",888,100,0.255,0.21,0.323,0.465,0.348,0.324,0.227,51,200,87.5,9.6,2205,88.8,89.03,150,436,452,0.2,6.48,107,152,120,147,307,323,290
885,624428,"Frazier, Adam",885,100,0.23,0.134,0.246,0.364,0.291,0.307,0.25,48,209,85.1,11.5,2282,88.3,88.45,67,409,476,0.2,6.41,114,151,109,151,287,315,295
882,542583,"Aguilar, Jesús",882,100,0.277,0.181,0.306,0.457,0.347,0.345,0.271,52,188,89.3,15.9,2221,88.9,89.12,93,417,463,0.2,6.51,108,151,122,147,309,325,293
882,673357,"Robert, Luis",882,100,0.233,0.203,0.3,0.436,0.316,0.325,0.223,47,202,87.9,16.7,2349,88.2,88.11,211,508,374,-0.1,6.35,105,151,118,145,302,329,299
